TEMPO;PROCESSO;PAGINA;ACAO
1;1;0;ENTROU
1;1;1;ENTROU
1;1;2;ENTROU
1;1;3;ENTROU
2;2;4;ENTROU
2;2;5;ENTROU
2;2;6;ENTROU
2;2;7;ENTROU
2;3;8;ENTROU
2;3;9;ENTROU
2;3;10;ENTROU
2;3;11;ENTROU
4;2;4;SAIU
4;2;5;SAIU
4;2;6;SAIU
4;2;7;SAIU
4;4;4;ENTROU
4;4;5;ENTROU
4;4;6;ENTROU
4;4;7;ENTROU
4;4;4;SAIU
4;4;5;SAIU
4;4;6;SAIU
4;4;7;SAIU
5;3;8;SAIU
5;3;9;SAIU
5;3;10;SAIU
5;3;11;SAIU
5;5;4;ENTROU
5;5;5;ENTROU
5;5;6;ENTROU
5;5;7;ENTROU
6;5;4;SAIU
6;5;5;SAIU
6;5;6;SAIU
6;5;7;SAIU
6;6;4;ENTROU
6;6;5;ENTROU
6;6;6;ENTROU
6;6;7;ENTROU
7;7;8;ENTROU
7;7;9;ENTROU
7;7;10;ENTROU
7;7;11;ENTROU
7;7;12;ENTROU
7;7;13;ENTROU
7;7;14;ENTROU
7;8;15;ENTROU
7;8;16;ENTROU
7;8;17;ENTROU
7;8;18;ENTROU
7;8;19;ENTROU
7;8;20;ENTROU
7;8;21;ENTROU
7;9;22;ENTROU
7;9;23;ENTROU
7;9;24;ENTROU
7;9;25;ENTROU
7;9;26;ENTROU
7;9;27;ENTROU
7;9;28;ENTROU
8;8;15;SAIU
8;8;16;SAIU
8;8;17;SAIU
8;8;18;SAIU
8;8;19;SAIU
8;8;20;SAIU
8;8;21;SAIU
8;10;15;ENTROU
8;10;16;ENTROU
8;10;17;ENTROU
8;10;18;ENTROU
8;10;19;ENTROU
8;10;20;ENTROU
8;10;21;ENTROU
9;9;22;SAIU
9;9;23;SAIU
9;9;24;SAIU
9;9;25;SAIU
9;9;26;SAIU
9;9;27;SAIU
9;9;28;SAIU
10;1;0;SAIU
10;1;1;SAIU
10;1;2;SAIU
10;1;3;SAIU
10;6;4;SAIU
10;6;5;SAIU
10;6;6;SAIU
10;6;7;SAIU
14;11;0;ENTROU
14;11;1;ENTROU
15;10;15;SAIU
15;10;16;SAIU
15;10;17;SAIU
15;10;18;SAIU
15;10;19;SAIU
15;10;20;SAIU
15;10;21;SAIU
15;12;2;ENTROU
15;12;3;ENTROU
15;12;4;ENTROU
15;13;5;ENTROU
15;13;6;ENTROU
16;14;7;ENTROU
16;14;15;ENTROU
16;15;16;ENTROU
16;15;17;ENTROU
16;16;18;ENTROU
16;16;19;ENTROU
16;16;20;ENTROU
16;17;21;ENTROU
16;17;22;ENTROU
16;17;23;ENTROU
20;11;0;SAIU
20;11;1;SAIU
20;12;2;SAIU
20;12;3;SAIU
20;12;4;SAIU
20;13;5;SAIU
20;13;6;SAIU
20;14;7;SAIU
20;14;15;SAIU
20;15;16;SAIU
20;15;17;SAIU
20;16;18;SAIU
20;16;19;SAIU
20;16;20;SAIU
20;18;0;ENTROU
20;18;1;ENTROU
20;18;2;ENTROU
20;18;3;ENTROU
20;18;4;ENTROU
20;18;5;ENTROU
20;18;6;ENTROU
20;18;7;ENTROU
20;18;15;ENTROU
20;18;16;ENTROU
20;19;17;ENTROU
20;19;18;ENTROU
20;19;19;ENTROU
20;19;20;ENTROU
20;19;24;ENTROU
20;20;25;ENTROU
20;20;26;ENTROU
20;20;27;ENTROU
20;20;28;ENTROU
20;20;29;ENTROU
20;20;30;ENTROU
21;17;21;SAIU
21;17;22;SAIU
21;17;23;SAIU
26;18;0;SAIU
26;18;1;SAIU
26;18;2;SAIU
26;18;3;SAIU
26;18;4;SAIU
26;18;5;SAIU
26;18;6;SAIU
26;18;7;SAIU
26;18;15;SAIU
26;18;16;SAIU
26;19;17;SAIU
26;19;18;SAIU
26;19;19;SAIU
26;19;20;SAIU
26;19;24;SAIU
26;20;25;SAIU
26;20;26;SAIU
26;20;27;SAIU
26;20;28;SAIU
26;20;29;SAIU
26;20;30;SAIU
26;21;0;ENTROU
26;21;1;ENTROU
26;21;2;ENTROU
26;21;3;ENTROU
26;21;4;ENTROU
26;21;5;ENTROU
26;21;6;ENTROU
26;22;7;ENTROU
26;22;15;ENTROU
26;22;16;ENTROU
26;22;17;ENTROU
26;23;18;ENTROU
26;23;19;ENTROU
26;23;20;ENTROU
26;23;21;ENTROU
26;24;22;ENTROU
26;24;23;ENTROU
26;24;24;ENTROU
26;24;25;ENTROU
26;25;26;ENTROU
26;26;27;ENTROU
26;26;28;ENTROU
26;26;29;ENTROU
26;26;30;ENTROU
27;24;22;SAIU
27;24;23;SAIU
27;24;24;SAIU
27;24;25;SAIU
27;25;26;SAIU
27;26;27;SAIU
27;26;28;SAIU
27;26;29;SAIU
27;26;30;SAIU
30;27;22;ENTROU
30;27;23;ENTROU
30;27;24;ENTROU
30;27;25;ENTROU
31;21;0;SAIU
31;21;1;SAIU
31;21;2;SAIU
31;21;3;SAIU
31;21;4;SAIU
31;21;5;SAIU
31;21;6;SAIU
31;27;22;SAIU
31;27;23;SAIU
31;27;24;SAIU
31;27;25;SAIU
31;28;0;ENTROU
31;28;1;ENTROU
31;28;2;ENTROU
31;28;3;ENTROU
31;28;4;ENTROU
31;28;5;ENTROU
31;28;6;ENTROU
31;28;22;ENTROU
31;29;23;ENTROU
31;29;24;ENTROU
31;29;25;ENTROU
31;29;26;ENTROU
31;29;27;ENTROU
31;29;28;ENTROU
32;22;7;SAIU
32;22;15;SAIU
32;22;16;SAIU
32;22;17;SAIU
32;30;7;ENTROU
32;30;15;ENTROU
32;30;16;ENTROU
32;30;17;ENTROU
32;30;29;ENTROU
32;30;30;ENTROU
33;28;0;SAIU
33;28;1;SAIU
33;28;2;SAIU
33;28;3;SAIU
33;28;4;SAIU
33;28;5;SAIU
33;28;6;SAIU
33;28;22;SAIU
33;31;0;ENTROU
33;31;1;ENTROU
33;32;2;ENTROU
33;33;3;ENTROU
33;33;4;ENTROU
33;33;5;ENTROU
33;33;6;ENTROU
34;29;23;SAIU
34;29;24;SAIU
34;29;25;SAIU
34;29;26;SAIU
34;29;27;SAIU
34;29;28;SAIU
34;34;22;ENTROU
34;34;23;ENTROU
34;34;24;ENTROU
34;34;25;ENTROU
34;34;26;ENTROU
34;34;27;ENTROU
34;34;28;ENTROU
36;23;18;SAIU
36;23;19;SAIU
36;23;20;SAIU
36;23;21;SAIU
36;30;7;SAIU
36;30;15;SAIU
36;30;16;SAIU
36;30;17;SAIU
36;30;29;SAIU
36;30;30;SAIU
36;35;7;ENTROU
36;35;15;ENTROU
36;35;16;ENTROU
36;36;17;ENTROU
36;36;18;ENTROU
36;36;19;ENTROU
36;36;20;ENTROU
36;36;21;ENTROU
36;36;29;ENTROU
36;36;30;ENTROU
38;31;0;SAIU
38;31;1;SAIU
39;32;2;SAIU
39;33;3;SAIU
39;33;4;SAIU
39;33;5;SAIU
39;33;6;SAIU
39;37;0;ENTROU
39;37;1;ENTROU
39;37;2;ENTROU
39;37;3;ENTROU
39;37;4;ENTROU
40;34;22;SAIU
40;34;23;SAIU
40;34;24;SAIU
40;34;25;SAIU
40;34;26;SAIU
40;34;27;SAIU
40;34;28;SAIU
40;38;5;ENTROU
40;38;6;ENTROU
40;38;22;ENTROU
40;38;23;ENTROU
40;38;24;ENTROU
40;38;25;ENTROU
40;38;26;ENTROU
40;38;27;ENTROU
40;38;28;ENTROU
40;38;31;ENTROU
42;35;7;SAIU
42;35;15;SAIU
42;35;16;SAIU
42;36;17;SAIU
42;36;18;SAIU
42;36;19;SAIU
42;36;20;SAIU
42;36;21;SAIU
42;36;29;SAIU
42;36;30;SAIU
42;39;7;ENTROU
42;39;15;ENTROU
42;39;16;ENTROU
42;40;17;ENTROU
42;40;18;ENTROU
42;40;19;ENTROU
42;40;20;ENTROU
45;37;0;SAIU
45;37;1;SAIU
45;37;2;SAIU
45;37;3;SAIU
45;37;4;SAIU
49;38;5;SAIU
49;38;6;SAIU
49;38;22;SAIU
49;38;23;SAIU
49;38;24;SAIU
49;38;25;SAIU
49;38;26;SAIU
49;38;27;SAIU
49;38;28;SAIU
49;38;31;SAIU
49;41;0;ENTROU
49;41;1;ENTROU
49;41;2;ENTROU
49;41;3;ENTROU
49;41;4;ENTROU
49;41;5;ENTROU
49;41;6;ENTROU
49;41;21;ENTROU
49;41;22;ENTROU
49;41;23;ENTROU
49;42;24;ENTROU
49;42;25;ENTROU
49;42;26;ENTROU
49;42;27;ENTROU
49;42;28;ENTROU
49;42;29;ENTROU
49;42;30;ENTROU
50;39;7;SAIU
50;39;15;SAIU
50;39;16;SAIU
50;40;17;SAIU
50;40;18;SAIU
50;40;19;SAIU
50;40;20;SAIU
50;43;7;ENTROU
50;43;15;ENTROU
50;43;16;ENTROU
50;43;7;SAIU
50;43;15;SAIU
50;43;16;SAIU
51;44;7;ENTROU
51;44;15;ENTROU
51;44;16;ENTROU
51;44;17;ENTROU
51;44;18;ENTROU
51;44;19;ENTROU
51;44;20;ENTROU
51;45;31;ENTROU
55;42;24;SAIU
55;42;25;SAIU
55;42;26;SAIU
55;42;27;SAIU
55;42;28;SAIU
55;42;29;SAIU
55;42;30;SAIU
55;46;24;ENTROU
55;47;25;ENTROU
55;48;26;ENTROU
55;48;27;ENTROU
55;49;28;ENTROU
56;41;0;SAIU
56;41;1;SAIU
56;41;2;SAIU
56;41;3;SAIU
56;41;4;SAIU
56;41;5;SAIU
56;41;6;SAIU
56;41;21;SAIU
56;41;22;SAIU
56;41;23;SAIU
56;50;0;ENTROU
56;50;1;ENTROU
56;50;2;ENTROU
56;50;3;ENTROU
60;7;8;SAIU
60;7;9;SAIU
60;7;10;SAIU
60;7;11;SAIU
60;7;12;SAIU
60;7;13;SAIU
60;7;14;SAIU
68;50;0;SAIU
68;50;1;SAIU
68;50;2;SAIU
68;50;3;SAIU
76;44;7;SAIU
76;44;15;SAIU
76;44;16;SAIU
76;44;17;SAIU
76;44;18;SAIU
76;44;19;SAIU
76;44;20;SAIU
77;45;31;SAIU
82;46;24;SAIU
84;47;25;SAIU
89;49;28;SAIU
90;48;26;SAIU
90;48;27;SAIU
